   0.00000000000       27.5427260724    
   56.9931331514       27.5426766967    
   3.52236934129       27.5427254870    
  0.217694397385       27.5427260458    
  0.134542536744E-01   27.5427260708    
   28.3548728563       27.5427120526    
   35.6241333415       27.5427050714    
   23.8622228034       27.5427156816    
   21.0856122974       27.5427176613    
   19.3695725856       27.5427187840    
   18.3090016894       27.5427194392    
   17.6535328108       27.5427198294    
   17.2484307544       27.5427200650    
   16.9980639080       27.5427202084    
   16.8433286832       27.5427202962    
   16.7476970524       27.5427203502    
   16.6885934527       27.5427203834    
   16.6520654182       27.5427204039    
   16.6294898507       27.5427204165    
   16.6155373823       27.5427204243    
   16.6069142824       27.5427204292    
   16.6015849135       27.5427204321    
   16.5982911822       27.5427204340    
   16.5962555443       27.5427204351    
